web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668864391-32","https://shopee.co.id/mall/brands/11042849","69Slam","https://shopee.co.id/69slam","","439","45% (hitungan jam)","7,4RB","4.8 (1,7RB penilaian)","24 bulan lalu","null","KAB. BADUNG","30%off69slam Sandal pria ARSIKI-ATMurah LebayRp285.000Rp200.000108 TerjualKAB. BADUNG","https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=0422d16b-e3a9-4128-94b7-17de430d1938&xptdk=0422d16b-e3a9-4128-94b7-17de430d1938","null","null","null","null","null"
"1668864427-33","https://shopee.co.id/mall/brands/11042849","4CM","https://shopee.co.id/4cmstore","","null","39% (hitungan jam)","60,8RB","4.7 (28,5RB penilaian)","5 tahun lalu","null","KOTA DEPOK","30%off4CM Boxer black fireMurah LebayRp99.000Rp69.30010RB+ TerjualKOTA DEPOK","https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=f5f5fb99-84c2-419b-bf3d-7051672c6a3c&xptdk=f5f5fb99-84c2-419b-bf3d-7051672c6a3c","null","null","null","null","null"
"1668864462-34","https://shopee.co.id/mall/brands/11042849","4.20","https://shopee.co.id/4.20official","","null","81% (hitungan jam)","50,8RB","4.9 (7,2RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","40%off4.20 T-Shirt Philosophy Mandala NavyPilih 2, bayar Rp170.000Rp102.000 - Rp170.000321 TerjualKOTA BANDUNG","https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=9facd4a5-eac4-482f-885c-6c0ab9a25a07&xptdk=9facd4a5-eac4-482f-885c-6c0ab9a25a07","null","null","null","null","null"
"1668864504-35","https://shopee.co.id/mall/brands/11042849","3Second","https://shopee.co.id/3secondshop","","9,2RB","86% (hitungan jam)","451,2RB","4.9 (115,8RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","40%off3Second Men Jacket 021021Diskon Rp15RBRp449.500Rp269.70049 TerjualKOTA BANDUNG","https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=51b6849b-4d1e-4ada-a31c-0682d0907e9e&xptdk=51b6849b-4d1e-4ada-a31c-0682d0907e9e","null","null","null","null","null"
"1668864535-36","https://shopee.co.id/mall/brands/11042849","308ABSLTUNSCRD","https://shopee.co.id/308absltunscrd","","null","88% (hitungan jam)","64,5RB","4.8 (21,4RB penilaian)","4 tahun lalu","null","KAB. SLEMAN","10%off308 ABSLTUNSCRD - Bracelete Rubber Au Small Circle - BlackRp20.000Rp18.000216 TerjualKAB. SLEMAN","https://shopee.co.id/308-ABSLTUNSCRD-Bracelete-Rubber-Au-Small-Circle-Black-i.93881215.3918271445?sp_atk=39bd3b80-ae82-485b-a2da-5569771b457e&xptdk=39bd3b80-ae82-485b-a2da-5569771b457e","null","null","null","null","null"
"1668864568-37","https://shopee.co.id/mall/brands/11042849","3'NThree","https://shopee.co.id/3nthreeofficial","","241","90% (hitungan jam)","7,1RB","4.8 (378 penilaian)","3 tahun lalu","null","KOTA TANGERANG","40%off3Nthree kemeja koko Pria Muslim originalDiskon Rp2,5RBMurah LebayRp249.000Rp149.40032 TerjualKOTA TANGERANG","https://shopee.co.id/3Nthree-kemeja-koko-Pria-Muslim-original-i.184001696.15666321843?sp_atk=e5d4b7b3-db33-4466-840d-ea79ae12cbc2&xptdk=e5d4b7b3-db33-4466-840d-ea79ae12cbc2","null","null","null","null","null"
"1668864604-38","https://shopee.co.id/mall/brands/11042849","2nd Red","https://shopee.co.id/2ndred","","311","83% (hitungan jam)","8,9RB","4.8 (13RB penilaian)","5 tahun lalu","null","KAB. BANDUNG BARAT","62%off2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266Diskon 10%Rp399.900Rp151.9624,3RB TerjualKAB. BANDUNG BARAT","https://shopee.co.id/2nd-Red-Celana-Jeans-Legend-Slim-Fit-Premium-Bahan-Melar-Warna-Biru-Muda-133266-i.23917033.1889960272?sp_atk=6f9d3cf3-3d89-4eeb-b760-2efd25a49a4a&xptdk=6f9d3cf3-3d89-4eeb-b760-2efd25a49a4a","null","null","null","null","null"
"1668864636-39","https://shopee.co.id/mall/brands/11042849","2FAB4YOU","https://shopee.co.id/2fab4you","","null","40% (hitungan menit)","1,9RB","4.9 (426 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=e4eec1ab-e916-4f25-b463-fbad7b4a47c7&xptdk=e4eec1ab-e916-4f25-b463-fbad7b4a47c7","null","null","null","null","null"
"1668864664-40","https://shopee.co.id/mall/brands/11042849","17Seven","https://shopee.co.id/seventeenseven","","1,8RB","78% (hitungan jam)","80,4RB","4.7 (48,2RB penilaian)","4 tahun lalu","null","KOTA JAKARTA TIMUR","78%off17Seven Original Celana Panjang Chino 015-HITAM-AKMurah LebayRp409.000Rp90.00010RB+ TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/17Seven-Original-Celana-Panjang-Chino-015-HITAM-AK-i.91485121.7350661850?sp_atk=1b9d0b6b-7ef0-48c9-b145-e66b9f7c7bd3&xptdk=1b9d0b6b-7ef0-48c9-b145-e66b9f7c7bd3","null","null","null","null","null"
"1668864693-41","https://shopee.co.id/mall/brands/11042849","07:35","https://shopee.co.id/0735_apparel","","52","73% (hitungan jam)","9,3RB","4.9 (1,4RB penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","07:35 - Random SaleRp73.500243 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/07-35-Random-Sale-i.298491252.9975420944?sp_atk=b42465f0-39d7-42e7-a3fa-15f35d37be62&xptdk=b42465f0-39d7-42e7-a3fa-15f35d37be62","null","null","null","null","null"
"1668864726-42","https://shopee.co.id/mall/brands/11042849","Zweckout Label","https://shopee.co.id/zweckout_label.official","","null","95% (hitungan jam)","15,4RB","4.6 (16,1RB penilaian)","5 tahun lalu","null","KAB. BANDUNG","45%offZWECKOUT LABEL - Celana Joger Slim Fit Skinny Jogger Pants Pria Korean Style HitamDiskon Rp5RBMurah LebayRp160.000Rp87.90010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/ZWECKOUT-LABEL-Celana-Joger-Slim-Fit-Skinny-Jogger-Pants-Pria-Korean-Style-Hitam-i.59825614.6716661856?sp_atk=359d3d11-50ba-457b-ad1b-9fdab3427274&xptdk=359d3d11-50ba-457b-ad1b-9fdab3427274","null","null","null","null","null"
"1668864758-43","https://shopee.co.id/mall/brands/11042849","Zhon Army","https://shopee.co.id/zhonarmy","","37","70% (hitungan jam)","4,2RB","4.5 (212 penilaian)","4 bulan lalu","null","KAB. BANDUNG","ZHON ARMY - Ciel UnderPants - Cd Boxer Pria RandomDiskon Rp50RBRp50.000 - Rp200.000465 TerjualKAB. BANDUNG","https://shopee.co.id/ZHON-ARMY-Ciel-UnderPants-Cd-Boxer-Pria-Random-i.832121891.16581051299?sp_atk=10d01208-0d80-4994-9ad3-8ba011c777b9&xptdk=10d01208-0d80-4994-9ad3-8ba011c777b9","null","null","null","null","null"
"1668864787-44","https://shopee.co.id/mall/brands/11042849","ZG Zegoboss","https://shopee.co.id/zgzegoboss","","54","87% (hitungan jam)","5,1RB","4.8 (1RB penilaian)","26 bulan lalu","null","KOTA JAKARTA PUSAT","ZEGO BOSS Celana Panjang Jeans Stretch Denim Regular Fit (Solid Black)Murah LebayRp565.000443 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/ZEGO-BOSS-Celana-Panjang-Jeans-Stretch-Denim-Regular-Fit-(Solid-Black)-i.307319831.7351957312?sp_atk=a37ce3b9-47f6-415e-9799-90c6c68453d8&xptdk=a37ce3b9-47f6-415e-9799-90c6c68453d8","null","null","null","null","null"
"1668864818-45","https://shopee.co.id/mall/brands/11042849","ZeroTwentyTwo","https://shopee.co.id/zerotwentytwo.id","","null","85% (hitungan jam)","72RB","4.8 (18,9RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","46%offZeroTwentyTwo T-shirt Transfer Black | Kaos Pria Parodi Plesetan Lucu ThrasherDiskon Rp2RBPilih 2, bayar Rp189.000Rp175.000Rp95.250874 TerjualKOTA BANDUNG","https://shopee.co.id/ZeroTwentyTwo-T-shirt-Transfer-Black-Kaos-Pria-Parodi-Plesetan-Lucu-Thrasher-i.175877695.7115926408?sp_atk=c353d49a-467d-47d4-abc1-27022656f824&xptdk=c353d49a-467d-47d4-abc1-27022656f824","null","null","null","null","null"
"1668864848-46","https://shopee.co.id/mall/brands/11042849","ZEROHEROES","https://shopee.co.id/zeroheroes.original","","435","97% (hitungan jam)","35,8RB","4.9 (12,3RB penilaian)","4 tahun lalu","null","KAB. MALANG","44%offZeroheroes | Kaos Kaki Tebal Premium Motif Garis OldschoolDiskon Rp1RBMurah LebayRp35.000Rp19.7002,3RB TerjualKAB. MALANG","https://shopee.co.id/Zeroheroes-Kaos-Kaki-Tebal-Premium-Motif-Garis-Oldschool-i.96006998.7450999154?sp_atk=ebc5aa95-0826-4057-87ec-f763d1b97186&xptdk=ebc5aa95-0826-4057-87ec-f763d1b97186","null","null","null","null","null"
"1668864878-47","https://shopee.co.id/mall/brands/11042849","Zaskia Mecca","https://shopee.co.id/zaskiamecca.official","","null","100% (hitungan jam)","1,9JT","4.8 (887,6RB penilaian)","6 tahun lalu","null","KOTA DEPOK","65%offZM Zaskia Mecca - Penyengat Dusty Green Scarf Kerudung Segi Empat Ultra SonicDiskon 10%Pilih 3, diskon 5%Rp189.000Rp67.0001,4RB TerjualKOTA DEPOK","https://shopee.co.id/ZM-Zaskia-Mecca-Penyengat-Dusty-Green-Scarf-Kerudung-Segi-Empat-Ultra-Sonic-i.12654106.6984957612?sp_atk=087d139e-93ed-4617-b9a1-8bf8d192605a&xptdk=087d139e-93ed-4617-b9a1-8bf8d192605a","null","null","null","null","null"
"1668864904-48","https://shopee.co.id/mall/brands/11042849","Zanetti","https://shopee.co.id/zanettiofficial","","null","100%","821","4.9 (16 penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","ZL 75004 Zanetti Kemeja Basic Polos Slim Fit Lengan Panjang Hitam PekatRp249.0003 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/ZL-75004-Zanetti-Kemeja-Basic-Polos-Slim-Fit-Lengan-Panjang-Hitam-Pekat-i.300622025.9010811787?sp_atk=facd46d3-dd95-4d54-b629-8b15e4f9d7ca&xptdk=facd46d3-dd95-4d54-b629-8b15e4f9d7ca","null","null","null","null","null"
"1668864930-49","https://shopee.co.id/mall/brands/11042849","Zalora","https://shopee.co.id/tolliverofficialshop","","null","99% (hitungan jam)","120,1RB","4.8 (13,7RB penilaian)","3 tahun lalu","null","KOTA BEKASI","57%offTolliver Hoodies With Zipper NavyDiskon 5%Rp349.000Rp149.000233 TerjualKOTA BEKASI","https://shopee.co.id/Tolliver-Hoodies-With-Zipper-Navy-i.166667048.4439560886?sp_atk=be3c9abf-ec7d-480c-a653-59b8a1901f3a&xptdk=be3c9abf-ec7d-480c-a653-59b8a1901f3a","null","null","null","null","null"
"1668864958-50","https://shopee.co.id/mall/brands/11042849","Zaemerci","https://shopee.co.id/zaemerci","","105","97% (hitungan jam)","22,9RB","4.8 (13,2RB penilaian)","33 bulan lalu","null","KOTA BANDUNG","20%offZaemerci - Kimono Kanvas  Lengan Panjang  Pria | Outer Casual Unisex OriginalDiskon 50%Pilih 2, diskon Rp15.000Rp72.000 - Rp153.0004,8RB TerjualKOTA BANDUNG","https://shopee.co.id/Zaemerci-Kimono-Kanvas-Lengan-Panjang-Pria-Outer-Casual-Unisex-Original-i.228751626.9915157509?sp_atk=44cc141f-dc5d-4166-a909-f2c16446ae10&xptdk=44cc141f-dc5d-4166-a909-f2c16446ae10","null","null","null","null","null"
"1668864988-51","https://shopee.co.id/mall/brands/11042849","Yesterday","https://shopee.co.id/yesterdayofficial","","null","95% (hitungan jam)","125,9RB","4.7 (131,8RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","60%offYesterday Waistbag Full Print Takei BlackDiskon Rp2,5RBPilih 3, bayar Rp195.000Rp195.000Rp78.0002,7RB TerjualKOTA BANDUNG","https://shopee.co.id/Yesterday-Waistbag-Full-Print-Takei-Black-i.173440820.5556050824?sp_atk=13c3d061-ea58-4c04-868a-7d544d1c6277&xptdk=13c3d061-ea58-4c04-868a-7d544d1c6277","null","null","null","null","null"
"1668865029-52","https://shopee.co.id/mall/brands/11042849","YEGE","https://shopee.co.id/yegeindonesia","","null","42% (hitungan jam)","7,4RB","4.7 (4,8RB penilaian)","4 tahun lalu","null","KOTA JAKARTA UTARA","YEGE Kemeja Koko Pria Putih HADAAD Lengan PanjangRp149.900144 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/YEGE-Kemeja-Koko-Pria-Putih-HADAAD-Lengan-Panjang-i.85448016.6642570864?sp_atk=97337963-2f13-4f7b-98de-de9e020584aa&xptdk=97337963-2f13-4f7b-98de-de9e020584aa","null","null","null","null","null"
"1668865060-53","https://shopee.co.id/mall/brands/11042849","Yauds.co","https://shopee.co.id/yauds.co","","null","25% (hitungan jam)","1,3RB","4.8 (50 penilaian)","4 tahun lalu","null","KOTA JAKARTA SELATAN","YAUDS.co x SPEAK UP TshirtRp220.0008 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/YAUDS.co-x-SPEAK-UP-Tshirt-i.128826850.9467307541?sp_atk=b837b6b0-9f5f-47bd-83e5-e9dbb7f777e4&xptdk=b837b6b0-9f5f-47bd-83e5-e9dbb7f777e4","null","null","null","null","null"
"1668865091-54","https://shopee.co.id/mall/brands/11042849","Yard Sale","https://shopee.co.id/yardsaleofficial","","690","71% (hitungan jam)","657","4.9 (93 penilaian)","21 bulan lalu","null","KOTA JAKARTA PUSAT","50%offYard Sale Costuum Kitsune Nylon Waist Bag OliveRp399.000Rp199.5001 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/Yard-Sale-Costuum-Kitsune-Nylon-Waist-Bag-Olive-i.383744581.4081437312?sp_atk=a057a02b-b870-4bc8-bb80-e0931d9672f6&xptdk=a057a02b-b870-4bc8-bb80-e0931d9672f6","null","null","null","null","null"
"1668865117-55","https://shopee.co.id/mall/brands/11042849","YAMASURIH","https://shopee.co.id/yamasurih.official","","null","42% (hitungan menit)","null","1,1RB","4.9 (171 penilaian)","null","KOTA BANDUNG","Yamasurih - Kaos Hitam ""Pecker Bozo"" T-ShirtRp200.00034 TerjualKOTA BANDUNG","https://shopee.co.id/Yamasurih-Kaos-Hitam-Pecker-Bozo-T-Shirt-i.272365407.4863866211?sp_atk=98a26b8d-5c59-4207-843e-a64c92e5ea11&xptdk=98a26b8d-5c59-4207-843e-a64c92e5ea11","null","null","null","null","null"
"1668865149-56","https://shopee.co.id/mall/brands/11042849","YAJUGAYA","https://shopee.co.id/yajugayaindonesia","","68","89% (hitungan jam)","1,4RB","4.9 (231 penilaian)","3 tahun lalu","null","KOTA BEKASI","Yajugaya - SituasuRp215.00035 TerjualKOTA BEKASI","https://shopee.co.id/Yajugaya-Situasu-i.161754161.2429683023?sp_atk=f19706ed-40cc-4c89-b981-eabf91f6052d&xptdk=f19706ed-40cc-4c89-b981-eabf91f6052d","null","null","null","null","null"
"1668865174-57","https://shopee.co.id/mall/brands/11042849","XXMAKE","https://shopee.co.id/xxmake_official","","null","100% (hitungan menit)","81,3RB","4.8 (53,4RB penilaian)","31 bulan lalu","null","KAB. TANGERANG","51%offXXMake Elastic Cover Sofa Bed Penutup Sofa Pattern Modern Menarik Sarung Sofa Bed S M L Penutup Sofa Bed ElastisDiskon Rp4RBMurah LebayRp83.000 - Rp114.00010RB+ TerjualKAB. TANGERANG","https://shopee.co.id/XXMake-Elastic-Cover-Sofa-Bed-Penutup-Sofa-Pattern-Modern-Menarik-Sarung-Sofa-Bed-S-M-L-Penutup-Sofa-Bed-Elastis-i.253240817.12446645553?sp_atk=976262ef-ee08-4ec2-acec-b4c23f59d14c&xptdk=976262ef-ee08-4ec2-acec-b4c23f59d14c","null","null","null","null","null"
"1668865204-58","https://shopee.co.id/mall/brands/11042849","X8","https://shopee.co.id/x8official","","2,1RB","93% (hitungan jam)","159,7RB","4.9 (20,2RB penilaian)","5 tahun lalu","null","KOTA JAKARTA BARAT","50%offBLUELINE by X8 Nino T-Shirt Pakaian PriaHadiah GratisRp189.900Rp94.950380 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/BLUELINE-by-X8-Nino-T-Shirt-Pakaian-Pria-i.66854073.9423501364?sp_atk=b7ed8bab-2516-4cda-a846-47453dc49e82&xptdk=b7ed8bab-2516-4cda-a846-47453dc49e82","null","null","null","null","null"
"1668865238-59","https://shopee.co.id/mall/brands/11042849","X Urban Absolute","https://shopee.co.id/xurbandabsolute","","null","91% (hitungan jam)","172,7RB","4.8 (30,9RB penilaian)","33 bulan lalu","null","KAB. BANDUNG","20%offX Urband Absolute Jaket Sukajan Raion Terlaris A096Kombo HematRp60.000 - Rp89.60010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/X-Urband-Absolute-Jaket-Sukajan-Raion-Terlaris-A096-i.224747419.9127208738?sp_atk=6a257b0c-f82b-47c6-a7c9-688b7f0ddc50&xptdk=6a257b0c-f82b-47c6-a7c9-688b7f0ddc50","null","null","null","null","null"
"1668865272-60","https://shopee.co.id/mall/brands/11042849","Wrangler","https://shopee.co.id/wranglerofficial","","1,1RB","58% (hitungan jam)","159RB","4.8 (29,9RB penilaian)","5 tahun lalu","null","KOTA BEKASI","10%offWrangler Jeans Texasbmcbc01A18Diskon Rp20RBRp459.900Rp413.910565 TerjualKOTA BEKASI","https://shopee.co.id/Wrangler-Jeans-Texasbmcbc01A18-i.55945766.4815275614?sp_atk=e818f360-2f4c-49f6-8a26-7474ebfbd855&xptdk=e818f360-2f4c-49f6-8a26-7474ebfbd855","null","null","null","null","null"
"1668865303-61","https://shopee.co.id/mall/brands/11042849","Worth ID","https://shopee.co.id/worthid.clothing","","438","86% (hitungan jam)","139,1RB","4.8 (42,5RB penilaian)","6 tahun lalu","null","KOTA BEKASI","25%offWORTH ID Kemeja Pria Cotton Pique Panjang BlackDiskon 50%Rp150.000 - Rp199.0002RB TerjualKOTA BEKASI","https://shopee.co.id/WORTH-ID-Kemeja-Pria-Cotton-Pique-Panjang-Black-i.11950297.1509390338?sp_atk=40773e68-09af-4b43-9e91-8d93e667b7e3&xptdk=40773e68-09af-4b43-9e91-8d93e667b7e3","null","null","null","null","null"
"1668865336-62","https://shopee.co.id/mall/brands/11042849","Wormhole","https://shopee.co.id/wormholestore","","528","91% (hitungan jam)","94,4RB","4.9 (12,8RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","5%offW.Essentiels Jaket Ecume Oversize Hoodie Olive EssentielsDiskon 10%Rp499.000Rp474.0501,2RB TerjualKOTA BANDUNG","https://shopee.co.id/W.Essentiels-Jaket-Ecume-Oversize-Hoodie-Olive-Essentiels-i.87216194.1455625420?sp_atk=585d56b2-1149-4427-a663-ac83cb968e1b&xptdk=585d56b2-1149-4427-a663-ac83cb968e1b","null","null","null","null","null"
"1668865364-63","https://shopee.co.id/mall/brands/11042849","Workout Streetwear","https://shopee.co.id/workoutstreetwear","","null","98% (hitungan jam)","111,4RB","4.8 (53RB penilaian)","25 bulan lalu","null","KOTA BANDUNG","51%offWorkout Streetwear Kaos Distro Cream BrokePilih 2, bayar Rp145.000Rp68.600 - Rp75.6008RB TerjualKOTA BANDUNG","https://shopee.co.id/Workout-Streetwear-Kaos-Distro-Cream-Broke-i.327711825.7884871886?sp_atk=37c1f888-9a30-419e-8e96-9a52303780a4&xptdk=37c1f888-9a30-419e-8e96-9a52303780a4","null","null","null","null","null"
"1668865395-64","https://shopee.co.id/mall/brands/11042849","Woof Pack","https://shopee.co.id/woofpack","","88","69% (hitungan jam)","2,6RB","4.6 (4RB penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","84%offTas Pouch Clutch Aksesoris Wanita Pria Multifungsi Woof Pack TCpouchXmi1Murah LebayRp70.000Rp10.9002,6RB TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Tas-Pouch-Clutch-Aksesoris-Wanita-Pria-Multifungsi-Woof-Pack-TCpouchXmi1-i.136847255.2090382228?sp_atk=46a7a47c-4e77-48dc-adf2-50fdc18119f3&xptdk=46a7a47c-4e77-48dc-adf2-50fdc18119f3","null","null","null","null","null"
"1668865420-65","https://shopee.co.id/mall/brands/11042849","Woodcutter","https://shopee.co.id/woodcutter","","null","95% (hitungan jam)","49,8RB","4.8 (22,1RB penilaian)","6 tahun lalu","null","KOTA BEKASI","16%offWOODCUTTER Kemeja Green Oakland Flannel ShirtPilih 2, diskon Rp5.000Rp189.000Rp159.5001,5RB TerjualKOTA BEKASI","https://shopee.co.id/WOODCUTTER-Kemeja-Green-Oakland-Flannel-Shirt-i.11559302.7532185453?sp_atk=eee99197-11f0-441e-9d30-07768c4b40bc&xptdk=eee99197-11f0-441e-9d30-07768c4b40bc","null","null","null","null","null"
"1668865455-66","https://shopee.co.id/mall/brands/11042849","Wood","https://shopee.co.id/woodofficialshop","","368","64% (hitungan jam)","10RB","4.9 (1,9RB penilaian)","25 bulan lalu","null","KOTA BEKASI","50%offWOOD Modern Fit Chino Pants 2-OPXBSC518O028 SandDiskon Rp20RBRp479.900Rp239.95071 TerjualKOTA BEKASI","https://shopee.co.id/WOOD-Modern-Fit-Chino-Pants-2-OPXBSC518O028-Sand-i.321648624.3371878387?sp_atk=4f4918d7-e737-456e-b8e7-5247e002f8bc&xptdk=4f4918d7-e737-456e-b8e7-5247e002f8bc","null","null","null","null","null"
"1668865485-67","https://shopee.co.id/mall/brands/11042849","Woffi Man","https://shopee.co.id/woffimanofficialshop","","1RB","94% (hitungan jam)","9,7RB","4.8 (2,6RB penilaian)","29 bulan lalu","null","KOTA SURABAYA","80%offWoffi Kaos Pria - Denimize StripesRp380.000Rp75.00083 TerjualKOTA SURABAYA","https://shopee.co.id/Woffi-Kaos-Pria-Denimize-Stripes-i.279757087.7345304149?sp_atk=e2ce740a-d462-4c89-aca5-9b2163a278a1&xptdk=e2ce740a-d462-4c89-aca5-9b2163a278a1","null","null","null","null","null"
"1668865517-68","https://shopee.co.id/mall/brands/11042849","WKND","https://shopee.co.id/wkndclothes","","596","94% (hitungan jam)","148,2RB","4.8 (34RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","44%offWKND Sweater Crewneck Original 1074 Cream Be Bold And BraveRp295.000Rp165.0007,4RB TerjualKOTA BANDUNG","https://shopee.co.id/WKND-Sweater-Crewneck-Original-1074-Cream-Be-Bold-And-Brave-i.107851093.7877608885?sp_atk=be2097fd-9caa-4497-b9ce-d8bd783263c2&xptdk=be2097fd-9caa-4497-b9ce-d8bd783263c2","null","null","null","null","null"
"1668865544-69","https://shopee.co.id/mall/brands/11042849","WIN Indonesia","https://shopee.co.id/winofficialshop","","null","75% (hitungan jam)","2,7RB","4.7 (387 penilaian)","9 bulan lalu","null","KAB. BANDUNG","47%offWIN - Parfume Unisex TravelRp80.000Rp42.400101 TerjualKAB. BANDUNG","https://shopee.co.id/WIN-Parfume-Unisex-Travel-i.680129571.20855210672?sp_atk=9bf2348b-04b1-4fc9-abf2-66e500500f34&xptdk=9bf2348b-04b1-4fc9-abf2-66e500500f34","null","null","null","null","null"
"1668865571-70","https://shopee.co.id/mall/brands/11042849","Will K","https://shopee.co.id/willklondon","","193","75% (hitungan jam)","18,5RB","4.8 (1,6RB penilaian)","5 tahun lalu","null","KOTA SURABAYA","47%offWILL-K LONDON T-shirt Contemporary Work Wear Sage GreenCashback 11%Rp189.900Rp99.90050 TerjualKOTA SURABAYA","https://shopee.co.id/WILL-K-LONDON-T-shirt-Contemporary-Work-Wear-Sage-Green-i.57319952.9653584802?sp_atk=f5910473-3a9d-445f-a9f8-3743a3a2f10b&xptdk=f5910473-3a9d-445f-a9f8-3743a3a2f10b","null","null","null","null","null"
"1668865613-71","https://shopee.co.id/mall/brands/11042849","WHSTL.","https://shopee.co.id/whstlofficial","","971","93% (hitungan jam)","55,8RB","4.8 (16,5RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","40%offWHSTL. Topi 5 Panel Pria - Clone Series (5 Pilihan Warna)Diskon Rp5RBRp120.000Rp72.0004,8RB TerjualKOTA BANDUNG","https://shopee.co.id/WHSTL.-Topi-5-Panel-Pria-Clone-Series-(5-Pilihan-Warna)-i.58359064.5832274561?sp_atk=e91f6e9f-f1d0-4acd-953c-77e1b8bee3af&xptdk=e91f6e9f-f1d0-4acd-953c-77e1b8bee3af","null","null","null","null","null"
"1668865645-72","https://shopee.co.id/mall/brands/11042849","WGB","https://shopee.co.id/wahgedebanget","","290","70% (hitungan jam)","11,2RB","4.9 (6,4RB penilaian)","6 tahun lalu","null","KOTA TANGERANG","Masker+ PRO BIG SIZE Bahan 3 Lapis Non Medis Tebal Earloop Korea Anti Virus WGBGrosirRp34.9002,1RB TerjualKOTA TANGERANG","https://shopee.co.id/Masker-PRO-BIG-SIZE-Bahan-3-Lapis-Non-Medis-Tebal-Earloop-Korea-Anti-Virus-WGB-i.6308095.6654182982?sp_atk=66545ebe-3fce-438a-9bf8-8f985cd5ffbf&xptdk=66545ebe-3fce-438a-9bf8-8f985cd5ffbf","null","null","null","null","null"
"1668865674-73","https://shopee.co.id/mall/brands/11042849","Welldone","https://shopee.co.id/welldone.store","","null","80% (hitungan jam)","182,3RB","4.8 (81,8RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","46%offWelldone Hoodie - Hoodie Fantastic BlackRp349.000Rp189.0003RB TerjualKAB. BANDUNG","https://shopee.co.id/Welldone-Hoodie-Hoodie-Fantastic-Black-i.96896363.6131859864?sp_atk=7716a31e-e9a8-4e3b-b214-9d1a87e50844&xptdk=7716a31e-e9a8-4e3b-b214-9d1a87e50844","null","null","null","null","null"
"1668865705-74","https://shopee.co.id/mall/brands/11042849","Wellborn","https://shopee.co.id/wellborncompany","","341","97% (hitungan jam)","382,8RB","4.8 (173,5RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","74%offWellborn Polo Two Tone Shirt CollectionHadiah GratisRp265.000Rp69.0002,3RB TerjualKOTA BANDUNG","https://shopee.co.id/Wellborn-Polo-Two-Tone-Shirt-Collection-i.218995246.9819735704?sp_atk=7463c901-2456-4f58-85de-9e69b765ac7e&xptdk=7463c901-2456-4f58-85de-9e69b765ac7e","null","null","null","null","null"
"1668865733-75","https://shopee.co.id/mall/brands/11042849","Wear Ware","https://shopee.co.id/wearware.id","","31","100% (hitungan jam)","1,3RB","4.9 (1,4RB penilaian)","5 tahun lalu","null","KOTA JAKARTA BARAT","26%offWEAR WARE - T Shirt Wanita - Bamboo Cotton V Neck WB003Rp59.200 - Rp80.000531 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/WEAR-WARE-T-Shirt-Wanita-Bamboo-Cotton-V-Neck-WB003-i.45175550.2946904401?sp_atk=14fb1883-0266-4c01-90ad-73b95fcd7095&xptdk=14fb1883-0266-4c01-90ad-73b95fcd7095","null","null","null","null","null"
