web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668866915-113","https://shopee.co.id/mall/brands/11042849","Unionwell","https://shopee.co.id/unionwelloriginal","","202","87% (hitungan jam)","14,6RB","4.9 (5,3RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","40%offUnionwell Tshirt Unionround Logo BlackRp300.000Rp180.000235 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Unionwell-Tshirt-Unionround-Logo-Black-i.168583478.11156284810?sp_atk=19c386b3-c0cc-441d-adcf-39320727e1c4&xptdk=19c386b3-c0cc-441d-adcf-39320727e1c4","null","null","null","null","null"
"1668866944-114","https://shopee.co.id/mall/brands/11042849","Underage","https://shopee.co.id/underage.indonesia","","null","88% (hitungan jam)","10,3RB","4.9 (4,7RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","54%offUnderage T-Shirt wild and free long sleve black streetwear | kaos motorDiskon Rp10RBMurah LebayRp138.600 - Rp163.350707 TerjualKOTA BANDUNG","https://shopee.co.id/Underage-T-Shirt-wild-and-free-long-sleve-black-streetwear-kaos-motor-i.199857305.4456360290?sp_atk=6bde9157-0d90-4d75-930d-0b2ea9ff8a79&xptdk=6bde9157-0d90-4d75-930d-0b2ea9ff8a79","null","null","null","null","null"
"1668866979-115","https://shopee.co.id/mall/brands/11042849","UK Unicloth Kingdom","https://shopee.co.id/uniclothkingdom","","79","65% (hitungan jam)","359","4.8 (128 penilaian)","19 bulan lalu","null","KOTA BANDUNG","50%offUK Unicloth Kingdom Tshirt Basic / Kaos Polos 24s / Kaos Polos Tanpa Jahitan SampingGrosirRp86.000Rp43.000152 TerjualKOTA BANDUNG","https://shopee.co.id/UK-Unicloth-Kingdom-Tshirt-Basic-Kaos-Polos-24s-Kaos-Polos-Tanpa-Jahitan-Samping-i.421704542.8488957170?sp_atk=cbaf31d5-6611-4beb-80cd-cd48f7a3a8bf&xptdk=cbaf31d5-6611-4beb-80cd-cd48f7a3a8bf","null","null","null","null","null"
"1668867009-116","https://shopee.co.id/mall/brands/11042849","UC&CO.","https://shopee.co.id/ucandcocanggu","","null","10%","382","4.9 (80 penilaian)","31 bulan lalu","null","KAB. BADUNG","UC&CO. Six Panel Cap Rest In ParadiseRp245.000 - Rp270.0004 TerjualKAB. BADUNG","https://shopee.co.id/UC-CO.-Six-Panel-Cap-Rest-In-Paradise-i.244561474.5929242914?sp_atk=91bc06f2-5201-472c-a55c-c687aeb75672&xptdk=91bc06f2-5201-472c-a55c-c687aeb75672","null","null","null","null","null"
"1668867041-117","https://shopee.co.id/mall/brands/11042849","U8","https://shopee.co.id/u8clothing","","null","75% (hitungan jam)","783","4.7 (184 penilaian)","28 bulan lalu","null","KOTA SURABAYA","60%offU8 Kemeja Motif Kirkless Navy Grey Modern Tribal KIRKLESS 1019-01Rp359.000Rp143.6003 TerjualKOTA SURABAYA","https://shopee.co.id/U8-Kemeja-Motif-Kirkless-Navy-Grey-Modern-Tribal-KIRKLESS-1019-01-i.283006103.7565395407?sp_atk=728180c6-1040-4f8d-81ff-fa944e2f63b4&xptdk=728180c6-1040-4f8d-81ff-fa944e2f63b4","null","null","null","null","null"
"1668867071-118","https://shopee.co.id/mall/brands/11042849","Twohead","https://shopee.co.id/twohead.official","","null","87% (hitungan jam)","19,4RB","4.8 (6,3RB penilaian)","24 bulan lalu","null","KAB. BANDUNG","59%offTwohead tshirt Depression WhiteDiskon Rp2,5RBRp180.000Rp73.8001,1RB TerjualKAB. BANDUNG","https://shopee.co.id/Twohead-tshirt-Depression-White-i.346059716.9528689078?sp_atk=f76cc34f-58fa-4eee-a391-5bff779e610f&xptdk=f76cc34f-58fa-4eee-a391-5bff779e610f","null","null","null","null","null"
"1668867100-119","https://shopee.co.id/mall/brands/11042849","Twinfit","https://shopee.co.id/twinfit_official","","183","100% (hitungan jam)","10,8RB","4.8 (2,1RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","50%offTwinfit Basic Polo ShirtPilih 3, bayar Rp250.000Rp209.000Rp104.0001,2RB TerjualKOTA BANDUNG","https://shopee.co.id/Twinfit-Basic-Polo-Shirt-i.33873300.5849880509?sp_atk=225994de-afe7-4fd9-9354-4e7953e84930&xptdk=225994de-afe7-4fd9-9354-4e7953e84930","null","null","null","null","null"
"1668867131-120","https://shopee.co.id/mall/brands/11042849","Tvck","https://shopee.co.id/tvck_cons","","333","77% (hitungan jam)","17,2RB","4.9 (1,6RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","25%offTvck Sling Bag Haqiba BlackRp155.000Rp116.250131 TerjualKOTA BANDUNG","https://shopee.co.id/Tvck-Sling-Bag-Haqiba-Black-i.158273238.5215538075?sp_atk=ec1c5b0e-d2a8-44aa-91f0-05f1e5c96f1f&xptdk=ec1c5b0e-d2a8-44aa-91f0-05f1e5c96f1f","null","null","null","null","null"
"1668867168-121","https://shopee.co.id/mall/brands/11042849","Tshirttokoh","https://shopee.co.id/tshirttokoh","","1,1RB","96% (hitungan jam)","66,6RB","4.8 (57,3RB penilaian)","6 tahun lalu","null","KOTA SURAKARTA (SOLO)","Tshirttokoh -  Kaos Panjang Umur Hal Baik - Cerita Baik HitamRp120.000 - Rp140.0002,7RB TerjualKOTA SURAKARTA (SOLO)","https://shopee.co.id/Tshirttokoh-Kaos-Panjang-Umur-Hal-Baik-Cerita-Baik-Hitam-i.8350587.3327648684?sp_atk=5cdfe05c-1756-4001-ab0b-9c0e3e764f78&xptdk=5cdfe05c-1756-4001-ab0b-9c0e3e764f78","null","null","null","null","null"
"1668867200-122","https://shopee.co.id/mall/brands/11042849","Trust Denim","https://shopee.co.id/trustdenimofficial","","88","76% (hitungan jam)","13RB","4.9 (3,6RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","57%offTRUST DENIM Black Rainbow 505 Celana Denim selvedge accent  - Black Denim OriginalRp420.000Rp179.999388 TerjualKAB. BANDUNG","https://shopee.co.id/TRUST-DENIM-Black-Rainbow-505-Celana-Denim-selvedge-accent-Black-Denim-Original-i.79588850.2107775561?sp_atk=6c28b929-f0aa-4268-bd5f-6c1e80e1b912&xptdk=6c28b929-f0aa-4268-bd5f-6c1e80e1b912","null","null","null","null","null"
